Array Element	Locus Identifier	Annotation
A_84_P249275	AT1G77460	binding
A_84_P755950	AT2G14793	transposable element gene
A_84_P20243	AT3G25990	DNA-binding protein GT-1-related
A_84_P827259	AT4G15080	zinc finger (DHHC type) family protein
A_84_P65454	AT5G27090	AGL54; transcription factor
A_84_P764024	AT4G04255	transposable element gene
A_84_P11717	AT3G06720	AT-IMP (Arabidopsis thaliana importin alpha); protein transporter
A_84_P532228	AT2G21930	F-box family protein
A_84_P763808	AT4G08940	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G01037.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN62585.1); contains InterPro domain Protein of unknown function DUF860, plant (InterPro:IPR008578)"
A_84_P22539	AT5G43860	ATCLH2 (Chlorophyll-chlorophyllido hydrolase 2)
A_84_P12830	AT4G02230	60S ribosomal protein L19 (RPL19C)
A_84_P21777	AT1G61330	F-box family protein
A_84_P15748	AT4G28800	transcription factor
A_84_P711556	AT1G72520	"lipoxygenase, putative"
A_84_P755684	AT2G16310	"pseudogene, RER1-related protein,  blastp match of 58% identity and 2.2e-53 P-value to GP|10945247|dbj|BAB16908.1||AP002863 putative Rer1A protein (AtRer1A) {Oryza sativa (japonica cultivar-group)}"
A_84_P233799	AT3G59770	SAC9 (suppressor of actin 9)
A_84_P758251	AT2G07820	unknown protein
A_84_P860087	AT1G27020	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G27030.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO41035.1)
A_84_P855736	AT1G79040	PSBR (photosystem II subunit R)
A_84_P21964	AT2G35570	"pseudogene, serpin (serine protease inhibitor) family, similar to phloem serpin-1 (Cucurbita maxima) GI:9937311; blastp match of 49% identity and 9.9e-85 P-value to GP|26224736|gb|AAN76362.1||AY158152 serpin-like protein {Citrus x paradisi}"
A_84_P10498	AT1G16060	"ovule development protein, putative"
A_84_P579427	AT3G20900	unknown protein
A_84_P576340	AT1G06750	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G30630.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G30630.2); similar to hypothetical protein [Vitis vinifera] (GB:CAN76299.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO22658.1); contains domain no description (G3DSA:3.40.50.300); contains domain P-loop containing nucleoside triphosphate hydrolases (SSF52540)
A_84_P803229	AT3G55430	"glycosyl hydrolase family 17 protein / beta-1,3-glucanase, putative"
A_84_P809225	AT4G28760	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G20240.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN81514.1); contains domain PTHR21726:SF7 (PTHR21726:SF7); contains domain PTHR21726 (PTHR21726)
A_84_P14628	AT3G44680	HDA9 (histone deacetylase 9); histone deacetylase
A_84_P10799	AT3G29190	lyase/ magnesium ion binding
A_84_P768226	AT5G45905	Encodes a defensin-like (DEFL) family protein.
A_84_P761460	AT3G45245	Encodes a ECA1 gametogenesis related family protein
A_84_P751420	AT1G46120	transposable element gene
A_84_P19335	AT3G22900	RNA polymerase Rpb7 N-terminal domain-containing protein
A_84_P155785	AT3G07390	AIR12 (Auxin-Induced in Root cultures 12); extracellular matrix structural constituent
A_84_P759950	AT3G19520	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G28500.1); contains InterPro domain Protein of unknown function DUF626, Arabidopsis thaliana (InterPro:IPR006462)"
A_84_P125071	AT4G01990	pentatricopeptide (PPR) repeat-containing protein
A_84_P762539	AT3G13205	pseudogene of vacuolar protein sorting-associated protein
A_84_P827553	AT2G39250	SNZ (SCHNARCHZAPFEN); DNA binding / transcription factor
A_84_P527084	AT3G26950	binding
A_84_P755546	AT5G38920;AT2G16080	"[AT5G38920, nucleic acid binding / ribonuclease H];[AT2G16080, pseudogene, similar to OSJNBb0041J06.18,  blastp match of 33% identity and 6.9e-11 P-value to GP|27818010|dbj|BAC55773.1||AP005176 OSJNBb0041J06.18 {Oryza sativa (japonica cultivar-group)}]"
A_84_P21012	AT2G21630	"transport protein, putative"
A_84_P753779	AT1G61795	similar to RIC10 (ROP-INTERACTIVE CRIB MOTIF-CONTAINING PROTEIN 10) [Arabidopsis thaliana] (TAIR:AT4G04900.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO69681.1); contains InterPro domain PAK-box/P21-Rho-binding (InterPro:IPR000095)
A_84_P16990	AT5G58170	glycerophosphoryl diester phosphodiesterase family protein
A_84_P853255	AT5G17330	GAD (Glutamate decarboxylase 1); calmodulin binding
A_84_P849192	AT4G35750	Rho-GTPase-activating protein-related
A_84_P817777	AT1G02280	TOC33 (PLASTID PROTEIN IMPORT 1); GTP binding
A_84_P23528	AT5G55700	BAM4/BMY6 (BETA-AMYLASE 4); beta-amylase
A_84_P308163	AT3G11290	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G19220.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO69032.1)
A_84_P58100	AT3G17205	UPL6 (UBIQUITIN PROTEIN LIGASE 6); ubiquitin-protein ligase
A_84_P11224	AT5G52390	"photoassimilate-responsive protein, putative"
A_84_P60960	AT5G39880	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G28750.1)
A_84_P19033	AT1G50700	CPK33 (calcium-dependent protein kinase 33); calmodulin-dependent protein kinase/ kinase
A_84_P844583	AT1G11340	S-locus lectin protein kinase family protein
A_84_P856663	AT5G63530	ATFP3 (Arabidopsis thaliana farnesylated protein 3); metal ion binding
A_84_P23303	AT4G26120	ankyrin repeat family protein / BTB/POZ domain-containing protein
A_84_P18360	AT3G26640	transducin family protein / WD-40 repeat family protein
A_84_P596885	AT1G13680	phospholipase C
A_84_P785561	AT1G09230	RNA recognition motif (RRM)-containing protein
A_84_P186344	AT2G25910	3'-5' exonuclease domain-containing protein / K homology domain-containing protein / KH domain-containing protein
A_84_P17133	AT1G36390	co-chaperone grpE family protein
A_84_P807036	AT2G34420	LHB1B2 (Photosystem II light harvesting complex gene 1.5); chlorophyll binding
A_84_P137029	AT1G78620	integral membrane family protein
A_84_P827733	AT5G67450	AZF1 (ARABIDOPSIS ZINC-FINGER PROTEIN 1); nucleic acid binding / transcription factor/ zinc ion binding
A_84_P545219	AT5G61120	zinc ion binding
A_84_P830735	AT4G32920	glycine-rich protein
A_84_P832090	AT3G06360	AGP27 (ARABINOGALACTAN PROTEIN 27)
A_84_P817184	AT5G21160	La domain-containing protein / proline-rich family protein
A_84_P86089	AT4G25030	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G45410.2); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G45410.3); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G45410.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO68979.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN81117.1)
A_84_P770121	ATMG00160	cytochrome c oxidase subunit 2
A_84_P809348	AT4G09000	GRF1 (GENERAL REGULATORY FACTOR 1); protein phosphorylated amino acid binding
A_84_P759832	AT3G22945;AT3G22942	"[AT3G22945, pseudogene, cyclophilin (fragment),  blastp match of 59% identity and 2.2e-14 P-value to GP|1563719|emb|CAA69622.1||Y08320 cyclophylin {Digitalis lanata}];[AT3G22942, AGG2 (G-PROTEIN GAMMA SUBUNIT 2)]"
A_84_P596994	AT1G63370;AT1G62620;AT1G62610	"[AT1G63370, flavin-containing monooxygenase family protein / FMO family protein];[AT1G62620, flavin-containing monooxygenase family protein / FMO family protein];[AT1G62610, short-chain dehydrogenase/reductase (SDR) family protein]"
A_84_P789049	AT5G63460	SAP domain-containing protein
A_84_P574960	AT3G19870	binding
A_84_P827153	AT2G23550	hydrolase
A_84_P764111	AT4G06688	"pseudogene, hypothetical protein"
A_84_P502161	AT3G05390	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G01240.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO17562.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN77378.1); contains domain SSF53335 (SSF53335); contains domain PROKAR_LIPOPROTEIN (PS51257)
A_84_P15864	AT5G18470	curculin-like (mannose-binding) lectin family protein
A_84_P517166	AT2G21655	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G29797.1); contains InterPro domain Protein of unknown function DUF784, Arabidopsis thaliana (InterPro:IPR008502)"
A_84_P769861	ATCG00070	PSII K protein
A_84_P21334	AT4G00620	"tetrahydrofolate dehydrogenase/cyclohydrolase, putative"
A_84_P19328	AT3G19170	ATPREP1/ATZNMP (PRESEQUENCE PROTEASE 1); metalloendopeptidase
A_84_P10703	AT2G19580	TET2 (TETRASPANIN2)
A_84_P16420	AT3G02000	ROXY1; thiol-disulfide exchange intermediate
A_84_P13510	AT1G07705	transcription regulator
A_84_P220908	AT5G43950	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G04090.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G04350.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN77840.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN61465.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO40557.1); contains InterPro domain Protein of unknown function DUF946, plant (InterPro:IPR009291)"
A_84_P572334	AT3G42910	transposable element gene
A_84_P786186	AT1G14580	zinc finger (C2H2 type) family protein
A_84_P826382	AT1G55570	SKS12 (SKU5 Similar 12); copper ion binding / oxidoreductase
A_84_P20702	AT5G58890	AGL82; DNA binding / transcription factor
A_84_P17823	AT5G47250	"disease resistance protein (CC-NBS-LRR class), putative"
A_84_P760514	AT3G25815	transposable element gene
A_84_P757449	AT2G03937	Encodes a defensin-like (DEFL) family protein.
A_84_P756487	AT2G39760	ATBPM3; protein binding
A_84_P506769	AT4G01160	BTB/POZ domain-containing protein
A_84_P797762	AT4G35170	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G41990.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN73167.1); contains InterPro domain Harpin-induced 1 (InterPro:IPR010847)
A_84_P15249	AT1G50580	glycosyltransferase family protein
A_84_P15898	AT5G38240	"serine/threonine protein kinase, putative"
A_84_P766715	AT5G34883;AT5G34885	"[AT5G34883, similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G34885.1)];[AT5G34885, similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G34883.1); contains InterPro domain Protein of unknown function DUF784, Arabidopsis thaliana (InterPro:IPR008502)]"
A_84_P271970	AT5G06280	similar to hypothetical protein [Vitis vinifera] (GB:CAN67410.1)
A_84_P23982	AT3G04790;AT3G04800	"[AT3G04790, ribose 5-phosphate isomerase-related];[AT3G04800, ATTIM23-3 (Arabidopsis thaliana translocase inner membrane subunit 23-3); P-P-bond-hydrolysis-driven protein transmembrane transporter]"
A_84_P12007	AT4G38780	"splicing factor, putative"
A_84_P15703	AT4G18340	glycosyl hydrolase family 17 protein
A_84_P563122	AT1G61160	contains InterPro domain Retrotransposon gag protein (InterPro:IPR005162)
A_84_P23538	AT5G58620	zinc finger (CCCH-type) family protein
A_84_P850541	AT2G02930;AT4G02520	"[AT2G02930, ATGSTF3 (GLUTATHIONE S-TRANSFERASE 16); glutathione transferase];[AT4G02520, ATGSTF2 (Arabidopsis thaliana Glutathione S-transferase (class phi) 2); glutathione transferase]"
A_84_P834680	AT1G71240	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G48840.1); similar to Os01g0869000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001044923.1); similar to hypothetical protein OsJ_004118 [Oryza sativa (japonica cultivar-group)] (GB:EAZ14293.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO24748.1); contains InterPro domain Protein of unknown function DUF639 (InterPro:IPR006927)
A_84_P757520	AT2G36680	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G53120.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO62968.1); contains InterPro domain Modifier of rudimentary, Modr (InterPro:IPR009851)"
A_84_P511258	AT4G17930	unknown protein
A_84_P13476	AT2G18230	ATPPA2 (ARABIDOPSIS THALIANA PYROPHOSPHORYLASE 2); inorganic diphosphatase/ pyrophosphatase
A_84_P236513	AT5G54430	universal stress protein (USP) family protein
A_84_P11913	AT4G12170	thioredoxin family protein
A_84_P710346	AT2G47015	MIR408; miRNA
A_84_P850667	AT4G13590	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G64150.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO71558.1); contains InterPro domain Protein of unknown function UPF0016; (InterPro:IPR001727)
A_84_P269570	AT4G03120	proline-rich family protein
A_84_P526212	AT3G46880	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G59080.1)
A_84_P20000	AT1G79820	SGB1; carbohydrate transmembrane transporter/ sugar:hydrogen ion symporter
A_84_P756561	AT2G14415	transposable element gene
A_84_P21538	AT5G18170	GDH1 (GLUTAMATE DEHYDROGENASE 1); oxidoreductase
A_84_P539804	AT5G28420	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G44935.1); contains domain PTHR10483 (PTHR10483)
A_84_P12096	AT5G24950	"CYP71A15 (cytochrome P450, family 71, subfamily A, polypeptide 15); oxygen binding"
A_84_P852635	AT2G37620	ACT1 (ACTIN 1); structural constituent of cytoskeleton
A_84_P13156	AT5G63120	"ethylene-responsive DEAD box RNA helicase, putative (RH30)"
A_84_P12141	AT1G66230	MYB20 (myb domain protein 20); DNA binding / transcription factor
A_84_P17696	AT4G16990	"disease resistance protein (TIR-NBS class), putative"
A_84_P576362	AT1G13620	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G04025.1)
A_84_P102076	AT5G64690	neurofilament triplet H protein-related
A_84_P16089	AT1G67290	glyoxal oxidase-related
A_84_P850199	AT1G06910	TRFL7 (TRF-LIKE 7); DNA binding / transcription factor
A_84_P839463	AT5G37478	Expressed protein
A_84_P16811	AT5G18660	"DVR (PALE-GREEN AND CHLOROPHYLL B REDUCED 2); 3,8-divinyl protochlorophyllide a 8-vinyl reductase"
A_84_P95219	AT5G10400	histone H3
A_84_P544465	AT1G26945	transcription regulator
A_84_P13914	AT4G17260	"L-lactate dehydrogenase, putative"
A_84_P12777	AT3G53700	MEE40 (maternal effect embryo arrest 40)
A_84_P15837	AT5G08100	L-asparaginase / L-asparagine amidohydrolase
A_84_P761392	AT3G46613	DVL15/RTFL4 (ROTUNDIFOLIA LIKE 4)
A_84_P16983	AT1G56630	lipase class 3 family protein
A_84_P16490	AT3G19140	protein binding / zinc ion binding
A_84_P12136	AT1G49820	ATMTK; S-methyl-5-thioribose kinase
A_84_P23668	AT1G08570	thioredoxin family protein
A_84_P538414	AT2G04845	GCN5-related N-acetyltransferase (GNAT) family protein
A_84_P791120	AT3G25240	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G07350.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO39951.1); contains InterPro domain Protein of unknown function DUF506, plant (InterPro:IPR006502)"
A_84_P16691	AT4G28130	diacylglycerol kinase accessory domain-containing protein
A_84_P723351	AT5G18470	curculin-like (mannose-binding) lectin family protein
A_84_P812243	AT5G13440	"ubiquinol-cytochrome C reductase iron-sulfur subunit, mitochondrial, putative / Rieske iron-sulfur protein, putative"
A_84_P538776	AT4G24015	zinc finger (RING-H2 type) protein-related
A_84_P769087	AT5G62576	unknown protein
A_84_P831052	AT1G52827	unknown protein
A_84_P850779	AT4G19490	protein binding
A_84_P794001	AT2G31340	EMB1381 (EMBRYO DEFECTIVE 1381)
A_84_P17176	AT1G75920	family II extracellular lipase 5 (EXL5)
A_84_P10919	AT3G61540	peptidase family protein
A_84_P834999	AT1G48700	"oxidoreductase, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors"
A_84_P766037	AT5G31685	transposable element gene
A_84_P844867	AT5G13690	alpha-N-acetylglucosaminidase family / NAGLU family
A_84_P816895	AT4G17270	Mo25 family protein
A_84_P18285	AT2G13150	transcription factor
A_84_P839812	AT1G69180	CRC (CRABS CLAW); transcription factor
A_84_P812444	AT2G25450	"2-oxoglutarate-dependent dioxygenase, putative"
A_84_P256030	AT5G52460	EDA41 (embryo sac development arrest 41)
A_84_P14671	AT3G54430	SRS6 (SHI-RELATED SEQUENCE 6)
A_84_P832203	AT2G34555	ATGA2OX3 (GIBBERELLIN 2-OXIDASE 3); gibberellin 2-beta-dioxygenase
A_84_P830570	AT5G56370	F-box family protein
A_84_P502843	AT1G59865	unknown protein
A_84_P509078	AT1G69900	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G27100.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN62089.1); contains InterPro domain Protein of unknown function DUF569 (InterPro:IPR007679); contains InterPro domain Actin-crosslinking proteins (InterPro:IPR008999)
A_84_P760342	AT3G30814	transposable element gene
A_84_P168793	AT5G63490	CBS domain-containing protein / octicosapeptide/Phox/Bemp1 (PB1) domain-containing protein
A_84_P752688	AT1G03982	similar to RIC6 (ROP-INTERACTIVE CRIB MOTIF-CONTAINING PROTEIN 6) [Arabidopsis thaliana] (TAIR:AT2G20430.1); similar to desiccation-associated protein [Lilium longiflorum] (GB:AAQ05795.1); contains InterPro domain PAK-box/P21-Rho-binding (InterPro:IPR000095)
A_84_P846707	AT3G61850	DAG1 (DOF AFFECTING GERMINATION 1); DNA binding / transcription factor
A_84_P756427	AT2G27420	"cysteine proteinase, putative"
A_84_P16971	AT5G28840	"GME (GDP-D-MANNOSE 3',5'-EPIMERASE); GDP-mannose 3,5-epimerase/ NAD binding / catalytic"
A_84_P296724	AT5G51190	"AP2 domain-containing transcription factor, putative"
A_84_P23129	AT3G06250	FRS7 (FAR1-RELATED SEQUENCE 7); zinc ion binding
A_84_P800034	AT4G16580	catalytic
A_84_P867277	AT1G31070	UDP-N-acetylglucosamine pyrophosphorylase-related
A_84_P598130	AT3G12530	PSF2
A_84_P718448	AT5G35100	peptidyl-prolyl cis-trans isomerase
A_84_P16690	AT4G27950	CRF4 (CYTOKININ RESPONSE FACTOR 4); DNA binding / transcription factor
A_84_P210398	AT2G31290	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G63090.1); similar to hypothetical protein 31.t00019 [Brassica oleracea] (GB:ABD65113.1); contains InterPro domain Protein of unknown function DUF860, plant (InterPro:IPR008578)"
A_84_P18398	AT3G14790	RHM3 (RHAMNOSE BIOSYNTHESIS 3); catalytic
A_84_P19119	AT2G24800	"peroxidase, putative"
A_84_P837112	AT1G73130	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G17780.2); similar to hypothetical protein [Vitis vinifera] (GB:CAN66610.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO39378.1)
A_84_P844075	AT2G47300	ribonuclease P
A_84_P16473	AT3G13340	WD-40 repeat family protein
A_84_P757586	AT2G41415	Encodes a Maternally expressed gene (MEG) family protein
A_84_P845383	AT3G51090	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G16460.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO48264.1); contains InterPro domain Protein of unknown function DUF1640 (InterPro:IPR012439)
A_84_P556737	AT5G65207	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G10040.1); similar to 80A08_3 [Brassica rapa subsp. pekinensis] (GB:AAZ67588.1)
A_84_P22512	AT5G35580	kinase
A_84_P15666	AT4G02510	TOC159 (PLASMID PROTEIN IMPORT 2)
A_84_P806351	AT2G14890	AGP9 (ARABINOGALACTAN PROTEIN 9)
A_84_P179694	AT5G26670	"pectinacetylesterase, putative"
A_84_P153995	AT3G01200;AT3G01202	"[AT3G01200, similar to phosphoprotein phosphatase/ protein kinase [Arabidopsis thaliana] (TAIR:AT4G21210.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO69694.1); contains InterPro domain Protein of unknown function DUF299 (InterPro:IPR005177); contains InterPro domain Pyruvate Pi dikinase regulator (InterPro:IPR017409)];[AT3G01202, other RNA]"
A_84_P216278	AT1G21210	WAK4 (WALL ASSOCIATED KINASE 4); protein serine/threonine kinase
A_84_P15740	AT4G27030	small conjugating protein ligase
A_84_P790287	AT1G61215	BRD4 (BROMODOMAIN 4); DNA binding
A_84_P816266	AT5G65480	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G38060.2); similar to unnamed protein product [Vitis vinifera] (GB:CAO61602.1)
A_84_P21422	AT4G28480	DNAJ heat shock family protein
A_84_P234603	AT5G62600	transportin-SR-related
A_84_P591642	AT1G58030	CAT2 (CATIONIC AMINO ACID TRANSPORTER 2); amino acid transmembrane transporter
A_84_P581506	AT5G22555	unknown protein
A_84_P21360	AT1G69570;AT1G69572	"[AT1G69570, Dof-type zinc finger domain-containing protein];[AT1G69572, other RNA]"
A_84_P15950	AT5G52480	protein binding
A_84_P558658	AT1G47660	unknown protein
A_84_P208598	AT2G35830	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G35810.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO69007.1)
A_84_P17539	AT3G62130	epimerase-related
A_84_P766980	AT5G38920	nucleic acid binding / ribonuclease H
A_84_P13262	AT1G03540	pentatricopeptide (PPR) repeat-containing protein
A_84_P13118	AT5G53760	MLO11 (MILDEW RESISTANCE LOCUS O 11); calmodulin binding
A_84_P768038	AT5G18403	Encodes a defensin-like (DEFL) family protein.
A_84_P235943	AT3G23200	Identical to UPF0497 membrane protein At3g23200 [Arabidopsis Thaliana] (GB:Q8L7R5;GB:Q9LTC8); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G53850.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO71367.1); contains InterPro domain Protein of unknown function DUF588 (InterPro:IPR006702)
A_84_P820842	AT1G61730	DNA-binding storekeeper protein-related
A_84_P213638	AT3G26100	regulator of chromosome condensation (RCC1) family protein
A_84_P190324	AT5G18040	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G18065.1)
A_84_P604464	AT3G58430	similar to meprin and TRAF homology domain-containing protein / MATH domain-containing protein [Arabidopsis thaliana] (TAIR:AT3G58410.1); similar to MATH domain containing protein [Brassica oleracea] (GB:ABD65138.1); contains InterPro domain MATH (InterPro:IPR002083); contains InterPro domain TRAF-like (InterPro:IPR008974)
A_84_P24096	AT3G46900	COPT2 (Copper transporter 2); copper ion transmembrane transporter
A_84_P231489	AT5G07220	ATBAG3 (ARABIDOPSIS THALIANA BCL-2-ASSOCIATED ATHANOGENE 3); protein binding
A_84_P15986	AT5G61680	pectinesterase family protein
A_84_P16780	AT5G07500	PEI1; nucleic acid binding / transcription factor
A_84_P762962	AT4G16080	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G45940.1); contains InterPro domain Protein of unknown function DUF295 (InterPro:IPR005174)
A_84_P17586	AT4G12280	copper amine oxidase family protein
A_84_P576707	AT3G09020	"alpha 1,4-glycosyltransferase family protein / glycosyltransferase sugar-binding DXD motif-containing protein"
A_84_P607076	AT3G29740	protein binding
A_84_P561066	AT5G37840	similar to PMI2 (plastid movement impaired 2) [Arabidopsis thaliana] (TAIR:AT1G66480.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN65027.1)
A_84_P188064	AT2G31085	CLE6 (CLAVATA3/ESR-RELATED 6); receptor binding
A_84_P553082	AT5G36080	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G32904.1)
A_84_P537020	AT4G28340	"similar to ATP binding / ATPase, coupled to transmembrane movement of substances [Arabidopsis thaliana] (TAIR:AT4G28330.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO69749.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN70485.1)"
A_84_P13984	AT5G24430	"calcium-dependent protein kinase, putative / CDPK, putative"
A_84_P586644	AT3G53232	DVL20/RTFL1 (ROTUNDIFOLIA 1)
A_84_P19791	AT5G66910	"disease resistance protein (CC-NBS-LRR class), putative"
A_84_P15152	AT1G80670	transducin family protein / WD-40 repeat family protein
A_84_P770332	ATMG01200	hypothetical protein
A_84_P521170	AT5G25960	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G25950.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN70607.1); contains InterPro domain Protein of unknown function DUF239, plant (InterPro:IPR004314)"
A_84_P78679	AT5G13880	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G47920.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN74736.1)
A_84_P14900	AT5G11240	transducin family protein / WD-40 repeat family protein
A_84_P20865	AT1G04420	aldo/keto reductase family protein
A_84_P571270	AT2G28056	MIR172/MIR172A; miRNA
A_84_P517683	AT5G48050	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G34070.1); similar to Putative retroelement [Oryza sativa (japonica cultivar-group)] (GB:AAM74347.1); similar to Putative retroelement [Oryza sativa (japonica cultivar-group)] (GB:AAN34944.1); similar to retrotransposon protein, putative, unclassified [Oryza sativa (japonica cultivar-group)] (GB:ABB47203.2)"
A_84_P16213	AT1G74630	pentatricopeptide (PPR) repeat-containing protein
A_84_P823089	AT2G35020	UTP--glucose-1-phosphate uridylyltransferase family protein
A_84_P21763	AT1G61580	ARP2/RPL3B (ARABIDOPSIS RIBOSOMAL PROTEIN 2); structural constituent of ribosome
A_84_P12421	AT1G62800	"ASP4 (ASPARTATE AMINOTRANSFERASE 4); catalytic/ pyridoxal phosphate binding / transaminase/ transferase, transferring nitrogenous groups"
A_84_P229289	AT5G35601	"pseudogene, cytoplasmic aconitate hydratase, similar to cytoplasmic aconitate hydratase; blastp match of 77% identity and 2.4e-53 P-value to SP|O04916|ACOC_SOLTU Aconitate hydratase, cytoplasmic (EC 4.2.1.3) (Citrate hydro-lyase) (Aconitase) (Fragment). (Potato) {Solanum tuberosum}"
A_84_P306650	AT2G37120	DNA-binding S1FA family protein
A_84_P784572	AT3G28130	nodulin MtN21 family protein
A_84_P786348	AT1G69360	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G26620.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN65039.1); contains InterPro domain Protein of unknown function DUF863, plant (InterPro:IPR008581)"
A_84_P512293	AT5G24313	unknown protein
A_84_P523193	AT1G31814	FRL2 (FRIGIDA LIKE 2)
A_84_P14736	AT4G09120	zinc finger (C3HC4-type RING finger) family protein
A_84_P18132	AT1G20180	Identical to UPF0496 protein At1g20180 [Arabidopsis Thaliana] (GB:Q6DYE5;GB:Q5BQ01;GB:Q9LNU2); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G49070.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO60936.1); contains InterPro domain Protein of unknown function DUF677 (InterPro:IPR007749)
A_84_P12922	AT4G30960	CIPK6 (CBL-INTERACTING PROTEIN KINASE 6); kinase
A_84_P21501	AT5G05410	DREB2A (DRE-BINDING PROTEIN 2A); DNA binding / transcription activator/ transcription factor
A_84_P825349	AT1G77810	galactosyltransferase family protein
A_84_P512655	AT1G77640	"AP2 domain-containing transcription factor, putative"
A_84_P19711	AT5G46290	KAS I (3-KETOACYL-ACYL CARRIER PROTEIN SYNTHASE I); fatty-acid synthase
A_84_P80879	AT2G46510	basic helix-loop-helix (bHLH) family protein
A_84_P759594	AT3G04390;AT4G34890	"[AT3G04390, xanthine dehydrogenase family protein];[AT4G34890, ATXDH1 (XANTHINE DEHYDROGENASE 1); xanthine dehydrogenase]"
A_84_P795995	AT3G26520	TIP2 (TONOPLAST INTRINSIC PROTEIN 2); water channel
