Array Element,Annotation
256284_at,PSF2
245584_at,ATAO1 (Arabidosis thaliana amine oxidase 1); copper ion binding
256838_at,ATARFC1 (ADP-ribosylation factor C1); GTP binding
254824_s_at,[AT4G14700_ ATORC1A/ORC1A (ORIGIN OF REPLICATION COMPLEX 1A); DNA binding];[AT4G12620_ ATORC1B/ORC1B/UNE13 (ORIGIN OF REPLICATION COMPLEX 1B); DNA binding / protein binding]
263927_s_at,[AT2G21890_ mannitol dehydrogenase_ putative];[AT2G21730_ mannitol dehydrogenase_ putative]
256795_at,PAC1 (20S proteasome alpha subunit C1); peptidase
264421_at,ARP1 (ARABIDOPSIS RIBOSOMAL PROTEIN 1); structural constituent of ribosome
266617_at,binding
262849_at,hydroxyproline-rich glycoprotein family protein
266808_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G07175.1)
263350_at,AGT (ALANINE:GLYOXYLATE AMINOTRANSFERASE)
261139_at,BEL10/BLH10A (BEL1-LIKE HOMEODOMAIN 10); DNA binding / transcription factor
256690_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G43150.1)
247706_at,haloacid dehalogenase-like hydrolase family protein
250912_at,HD2C (HISTONE DEACETYLASE 2C); nucleic acid binding / zinc ion binding
248917_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G18630.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN81695.1); contains InterPro domain Protein of unknown function DUF688 (InterPro:IPR007789)
255077_at,T-complex protein 11
247387_at,no_match
266539_at,SUVH5 (SU(VAR)3-9 HOMOLOG 5)
250511_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G64850.1); similar to 4D11_4 [Brassica rapa subsp. pekinensis] (GB:AAZ67518.1)
261833_at,ACLA-1 (ATP-citrate lyase A-1)
256978_at,PUR7 (PURIN 7); phosphoribosylaminoimidazolesuccinocarboxamide synthase
254672_at,transposable element gene
250394_at,mraW methylase family protein
260303_at,protein kinase family protein
265663_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G30996.1); similar to H0311C03.8 [Oryza sativa (indica cultivar-group)] (GB:CAH67554.1); contains InterPro domain Protein of unknown function DUF1068 (InterPro:IPR010471)
263433_at,inositol-3-phosphate synthase isozyme 2 / myo-inositol-1-phosphate synthase 2 / MI-1-P synthase 2 / IPS 2
258996_at,ribosome recycling factor family protein / ribosome releasing factor family protein
266720_s_at,[AT2G46670_ pseudo-response regulator_ putative / timing of CAB expression 1-like protein_ putative];[AT2G46790_ APRR9 (PSEUDO-RESPONSE REGULATOR 9); transcription regulator]
248172_at,heat shock protein-related
253119_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO48186.1); contains domain PTHR21068 (PTHR21068); contains domain PTHR21068:SF3 (PTHR21068:SF3)
256426_at,PHD finger family protein
267476_at,pectate lyase family protein
253600_at,SCPL29 (serine carboxypeptidase-like 29); serine carboxypeptidase
250512_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G08530.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN81396.1)
261335_at,nodulin MtN21 family protein
265460_at,calcium-binding protein_ putative
261104_at,pentatricopeptide (PPR) repeat-containing protein
259957_at,protein kinase family protein
253533_at,ATCSLC05 (Cellulose synthase-like C5); transferase_ transferring glycosyl groups
262087_at,MIF4G domain-containing protein / U-box domain-containing protein
247159_at,ACS5 (ACC SYNTHASE 5); 1-aminocyclopropane-1-carboxylate synthase
266463_at,tic20 protein-related
261491_at,FLP (FOUR LIPS); DNA binding / transcription factor
263314_at,xanthine/uracil permease family protein
264410_s_at,[AT1G43205_ transposable element gene];[AT4G07523_ transposable element gene];[AT1G43230_ transposable element gene];[AT5G27180_ transposable element gene]
266620_at,hydrolase
266032_x_at,transposable element gene
248853_at,protein kinase family protein
247603_at,chromosome-associated kinesin_ putative
266836_at,zinc finger (C3HC4-type RING finger) family protein
258930_at,transcription factor
253401_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G25770.2); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G25770.1); similar to unknown [Populus trichocarpa x Populus deltoides] (GB:ABK96434.1); contains domain SSF55961 (SSF55961)
262776_at,eukaryotic translation initiation factor_ putative (EIF4B5)
261769_at,plastocyanin
248496_at,nodulin MtN3 family protein
265266_at,AML2; RNA binding
253618_at,nodulin MtN21 family protein
257738_at,no_match
244961_at,hypothetical protein
251726_at,pseudogene_ protein kinase family_ contains protein kinase domain_ Pfam:PF00069; blastp match of 44% identity and 9.2e-11 P-value to GP|3947676|emb|CAA21067.1||AL031652 dJ1119D9.1 (PAK5 (KIAA1264) (P21-Rho-binding domain containing serine/ Threonine protein kinase)) {Homo sapiens}
248371_at,AT2353/ATGA20OX2/GA20OX2 (GIBBERELLIN 20 OXIDASE 2); gibberellin 20-oxidase
251704_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G05250.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO41488.1)
265023_at,protein binding / zinc ion binding
264491_at,DNA cross-link repair protein-related
257579_at,similar to kelch repeat-containing protein [Arabidopsis thaliana] (TAIR:AT5G01660.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO41447.1); contains InterPro domain Kelch related (InterPro:IPR013089); contains InterPro domain Development and cell death (InterPro:IPR013989)
260029_at,glycoside hydrolase family 47 protein
255963_at,MBD8 (methyl-CpG-binding domain 8)
254557_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO66715.1)
255056_at,TT8 (TRANSPARENT TESTA 8); DNA binding / transcription factor
250177_at,RGLG2 (RING DOMAIN LIGASE2); ubiquitin-protein ligase
252146_at,flavonol 3-sulfotransferase-related
261059_at,AP2 domain-containing transcription factor_ putative
263981_at,HLH1/PAR1 (PHY RAPIDLY REGULATED 1); transcription regulator
262505_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G21670.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN73514.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO61906.1); similar to hypothetical protein OsJ_012725 [Oryza sativa (japonica cultivar-group)] (GB:EAZ29242.1); contains InterPro domain WD40-like Beta Propeller (InterPro:IPR011659); contains InterPro domain Six-bladed beta-propeller_ TolB-like (InterPro:IPR011042)
261966_x_at,[AT2G10630_ transposable element gene];[AT2G12260_ transposable element gene];[AT1G36470_ transposable element gene];[AT1G50860_ transposable element gene]
267155_at,unknown protein
256015_at,LHCA6 (Photosystem I light harvesting complex gene 6); chlorophyll binding
251310_at,HDG1 (HOMEODOMAIN GLABROUS1); DNA binding / transcription factor
267054_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G51720.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO48842.1); contains InterPro domain Protein of unknown function DUF827_ plant (InterPro:IPR008545)
260516_at,SPla/RYanodine receptor (SPRY) domain-containing protein
253558_at,ATPRMT5/PRMT5/ SKB1 (SHK1 BINDING PROTEIN 1); protein methyltransferase
256106_at,mitochondrial 28S ribosomal protein S29-related
264431_at,DNA-directed RNA polymerase II_ putative (RPB10)
251139_at,FtsJ-like methyltransferase family protein
258203_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G13266.1); similar to Ankyrin [Medicago truncatula] (GB:ABN08906.1)
264909_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G35320.1)
266091_at,EMB1513 (EMBRYO DEFECTIVE 1513); copper ion transmembrane transporter
265738_at,QPT (QUINOLINATE PHOSHORIBOSYLTRANSFERASE); nicotinate-nucleotide diphosphorylase (carboxylating)
252264_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G18770.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO48537.1)
263826_at,Ca(2+)-dependent nuclease_ putative
259802_at,THI2.1 (THIONIN 2.1); toxin receptor binding
261523_at,PTP1 (PROTEIN TYROSINE PHOSPHATASE 1)
253226_at,BGAL11 (beta-galactosidase 11); beta-galactosidase
251222_at,similar to late embryogenesis abundant domain-containing protein / LEA domain-containing protein [Arabidopsis thaliana] (TAIR:AT1G72100.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN73725.1); contains domain LATE EMBRYOGENESIS ABUNDANT (PLANTS) LEA-RELATED (PTHR23241)
255941_at,ATTIM17-1 (Arabidopsis thaliana translocase inner membrane subunit 17-1); P-P-bond-hydrolysis-driven protein transmembrane transporter
247018_at,DNA binding / transcription factor
264708_at,ethylene-responsive protein_ putative
246983_at,leucine-rich repeat transmembrane protein kinase_ putative
254519_at,F-box family protein
258024_at,zinc finger (CCCH-type) family protein
265633_at,EBF1 (EIN3-BINDING F BOX PROTEIN 1); ubiquitin-protein ligase
263418_at,pentatricopeptide (PPR) repeat-containing protein
246042_at,cinnamyl-alcohol dehydrogenase_ putative (CAD)
260596_at,TIM50 (EMBRYO DEFECTIVE 1860)
258291_at,protein kinase_ putative
260902_at,mutase family protein
254192_at,long-chain-fatty-acid--CoA ligase / long-chain acyl-CoA synthetase
246340_s_at,[AT3G44860_ FAMT (FARNESOIC ACID CARBOXYL-O-METHYLTRANSFERASE); S-adenosylmethionine-dependent methyltransferase/ farnesoic acid O-methyltransferase];[AT3G44870_ S-adenosyl-L-methionine:carboxyl methyltransferase family protein]
245205_at,RNA binding
263151_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G14060.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO45609.1)
258345_at,emp24/gp25L/p24 protein-related
246559_at,transducin family protein / WD-40 repeat family protein
246529_at,serine/ Threonine protein kinase_ putative
255696_at,GAE3 (UDP-D-GLUCURONATE 4-EPIMERASE 3); catalytic
254094_at,UvrD/REP helicase family protein
253117_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO43077.1); contains InterPro domain Protein of unknown function DUF343 (InterPro:IPR005651)
250411_at,unknown protein
259250_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G48335.1); similar to Os02g0609400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001047394.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO44467.1)
246702_at,cytidine/deoxycytidylate deaminase family protein
251138_at,e-cadherin binding protein-related
266171_at,ATHAP3/ATNF-YB1/HAP3/HAP3A (NUCLEAR FACTOR Y SUBUNIT B1); transcription factor
259914_at,no_match
251818_at,ATVPS33 (Arabidopsis thaliana vacuolar protein sorting 33); protein transporter
254541_at,transposable element gene
261432_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G23903.1)
250090_at,GAD (Glutamate decarboxylase 1); calmodulin binding
255329_at,pentatricopeptide (PPR) repeat-containing protein
255087_at,SPla/RYanodine receptor (SPRY) domain-containing protein
247161_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G49720.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G49720.2); similar to hypothetical protein [Vitis vinifera] (GB:CAN74732.1); contains domain S-adenosyl-L-methionine-dependent methyltransferases (SSF53335)
253667_at,peroxidase_ putative
251564_at,XIJ (Myosin-like protein XIJ)
266920_at,dehydration-responsive family protein
246530_at,unknown protein
252372_at,ALDH2B4 (ALDEHYDE DEHYDROGENASE 2); 3-chloroallyl aldehyde dehydrogenase/ aldehyde dehydrogenase (NAD)
262925_at,YSL7 (YELLOW STRIPE LIKE 7); oligopeptide transporter
252452_at,leucine-rich repeat transmembrane protein kinase_ putative
259087_at,DNAJ heat shock N-terminal domain-containing protein
254233_at,high mobility group (HMG1/2) family protein
249276_at,POLA3/POLA4; DNA primase
249576_at,GDSL-motif lipase/hydrolase family protein
265720_at,yippee family protein
247759_at,COPT3 (Copper transporter 3); copper ion transmembrane transporter
251838_at,cysteine proteinase_ putative
250361_at,similar to F-box family protein [Arabidopsis thaliana] (TAIR:AT5G56410.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO63564.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN74740.1); contains InterPro domain Leucine-rich repeat 2 (InterPro:IPR013101); contains InterPro domain FBD (InterPro:IPR013596); contains InterPro domain FBD-like (InterPro:IPR006566)
252682_at,binding
247862_at,similar to hypothetical protein [Vitis vinifera] (GB:CAN75840.1); contains domain PD020337 (PD020337)
258264_at,MBD11 (methyl-CpG-binding domain 11); DNA binding
263289_at,ubiquitin extension protein 2 (UBQ2) / 60S ribosomal protein L40 (RPL40A)
258085_at,regulator of chromosome condensation (RCC1) family protein
253754_at,glycine-rich protein
263373_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO40634.1)
262961_at,AIN1 (ACC INSENSITIVE 1); 5'-3' exonuclease/ nucleic acid binding
253604_at,unknown protein
251264_at,tRNA synthetase class II (G_ H_ P and S) family protein
254383_at,unknown protein
262173_at,ALDH10A8 (Aldehyde dehydrogenase 10A8); 3-chloroallyl aldehyde dehydrogenase
248199_at,similar to CP5 [Arabidopsis thaliana] (TAIR:AT1G64720.1); similar to putative nodule membrane protein [Medicago sativa] (GB:AAL57201.1); contains InterPro domain Lipid-binding START (InterPro:IPR002913)
248189_at,DNA mismatch repair MutS family protein
261786_at,ATCNGC7 (CYCLIC NUCLEOTIDE GATED CHANNEL 7); calmodulin binding / cyclic nucleotide binding / ion channel
258910_at,DEAD box RNA helicase_ putative
262219_at,pentatricopeptide (PPR) repeat-containing protein
245502_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G21465.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO71016.1)
254752_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G13630.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO43544.1); contains InterPro domain Protein of unknown function DUF593 (InterPro:IPR007656)
253904_at,2S seed storage protein 1 / 2S albumin storage protein / NWMU1-2S albumin 1
259326_at,MPPALPHA (mitochondrial processing peptidase alpha subunit); metalloendopeptidase
253194_s_at,[AT4G35400_ transposable element gene];[AT1G48250_ transposable element gene];[AT1G17275_ transposable element gene];[AT1G78350_ transposable element gene]
253059_s_at,[AT4G37680_ HHP4 (heptahelical protein 4); receptor];[AT4G38320_ HHP5 (heptahelical protein 5); receptor]
256740_at,similar to hypothetical protein [Vitis vinifera] (GB:CAN68959.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO15056.1)
262969_at,zinc finger (C2H2 type) family protein
245255_at,COP9 (CONSTITUTIVE PHOTOMORPHOGENIC 9)
251046_at,kinesin motor protein-related
253742_at,transposable element gene
249764_at,MIND (ACCUMULATION AND REPLICATION OF CHLOROPLAST 11)
251668_at,strictosidine synthase family protein
261559_at,LIM domain-containing protein
253291_at,40S ribosomal protein S29 (RPS29C)
259321_at,GAUT13 (Galacturonosyltransferase 13); polygalacturonate 4-alpha-galacturonosyltransferase/ transferase_ transferring glycosyl groups / transferase_ transferring hexosyl groups
254155_at,serine/ Threonine protein kinase_ putative
264968_at,rubber elongation factor (REF) family protein
259288_at,small nuclear ribonucleoprotein G_ putative / snRNP-G_ putative / Sm protein G_ putative
264311_at,similar to EMB1220 (EMBRYO DEFECTIVE 1220) [Arabidopsis thaliana] (TAIR:AT1G60170.1); similar to Pre-mRNA processing ribonucleoprotein_ binding region; NOSIC [Medicago truncatula] (GB:ABN06098.1); contains InterPro domain NOSIC (InterPro:IPR012976)
257065_at,phosphatidic acid phosphatase family protein / PAP2 family protein
259327_at,jacalin lectin family protein
253676_at,cytidine deaminase_ putative / cytidine aminohydrolase_ putative
245090_at,nodulin MtN21 family protein
250359_at,endonuclease/exonuclease/phosphatase family protein
264583_at,galactosyltransferase family protein
257050_at,protein phosphatase 2C_ putative / PP2C_ putative
262466_at,no_match
257901_at,no_match
257887_at,protein phosphatase 2C family protein / PP2C family protein
264033_at,F-box family protein-related
258548_at,Ulp1 protease family protein
260246_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G03630.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN71403.1)
254697_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G46600.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G46610.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO63429.1); contains InterPro domain Protein of unknown function UPF0005 (InterPro:IPR006214)
253932_at,pentatricopeptide (PPR) repeat-containing protein
259475_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO65215.1); contains InterPro domain Ubiquinone biosynthesis protein COQ9; (InterPro:IPR012762); contains InterPro domain COQ9 (InterPro:IPR013718)
267495_at,no_match
262233_at,SNF2 domain-containing protein / helicase domain-containing protein
253360_at,APM1 (AMINOPEPTIDASE M1)
248552_at,31 kDa ribonucleoprotein_ chloroplast_ putative / RNA-binding protein RNP-T_ putative / RNA-binding protein 1/2/3_ putative / RNA-binding protein cp31_ putative
249752_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G24655.1); similar to unknown protein [Brassica rapa subsp. pekinensis] (GB:AAQ92331.1)
251368_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G45900.1); similar to {_ related [Medicago truncatula] (GB:ABD32828.1); contains domain PTHR21726:SF4 (PTHR21726:SF4); contains domain PTHR21726 (PTHR21726)
263261_at,no_match
248549_at,kelch repeat-containing protein
254033_at,VATG3 (VACUOLAR ATP SYNTHASE G3)
253537_at,HCF153
245869_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO41839.1); contains InterPro domain WD40 repeat-like (InterPro:IPR011046); contains InterPro domain WD40/YVTN repeat-like (InterPro:IPR015943)
246423_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO62232.1)
249990_at,similar to hypothetical protein [Vitis vinifera] (GB:CAN82619.1)
254971_at,NIP5;1/ NLM6/ NLM8 (NOD26-like intrinsic protein 5;1); boron transporter/ water channel
260927_at,CAT9 (CATIONIC AMINO ACID TRANSPORTER 9); cationic amino acid transmembrane transporter
259854_at,zinc finger (C3HC4-type RING finger) family protein
259079_at,no_match
251555_at,SHP1 (SHATTERPROOF 1); DNA binding / transcription factor
257422_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G62305.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO69658.1); contains InterPro domain Protein of unknown function DUF266_ plant (InterPro:IPR004949)
248857_at,DNA-binding family protein
261246_at,ATSYTB/ NTMC2T1.2/ NTMC2TYPE1.2/ SYTB
258918_at,CYP77A7/UNE9 (CYTOCHROME P450_ FAMILY 77_ SUBFAMILY A_ POLYPEPTIDE 7); oxygen binding
259378_at,mitotic phosphoprotein N' end (MPPN) family protein
261176_at,ankyrin repeat family protein
249191_at,similar to unknown [Populus trichocarpa] (GB:ABK95091.1); contains InterPro domain O-methyltransferase_ N-terminal (InterPro:IPR003455); contains InterPro domain Conserved hypothetical protein CHP00027_  methylltransferase (InterPro:IPR011610)
264418_at,polypyrimidine tract-binding protein_ putative / heterogeneous nuclear ribonucleoprotein_ putative
261984_at,AP2 domain-containing transcription factor_ putative
247554_at,ATEXO70E2 (EXOCYST SUBUNIT EXO70 FAMILY PROTEIN E2); protein binding
264297_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G31110.2); similar to unnamed protein product [Vitis vinifera] (GB:CAO39474.1); contains InterPro domain Protein of unknown function DUF231_ plant (InterPro:IPR004253)
258817_at,pentatricopeptide (PPR) repeat-containing protein
257393_at,no_match
262207_at,PTAC2 (PLASTID TRANSCRIPTIONALLY ACTIVE2)
250464_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G65207.1); similar to 80A08_3 [Brassica rapa subsp. pekinensis] (GB:AAZ67588.1)
256517_at,MMD1 (MALE MEIOCYTE DEATH 1); DNA binding
253601_at,similar to unknown [Populus trichocarpa] (GB:ABK94135.1); contains InterPro domain Endonuclease/exonuclease/phosphatase (InterPro:IPR005135)
253662_at,ARF16 (AUXIN RESPONSE FACTOR 16); miRNA binding / transcription factor
246589_at,transferase_ transferring glycosyl groups
248018_at,FAD-dependent oxidoreductase family protein
259703_at,glycosyl hydrolase family 17 protein
248770_at,similar to protein kinase family protein / U-box domain-containing protein [Arabidopsis thaliana] (TAIR:AT2G45910.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO48333.1); contains InterPro domain Rossmann-like alpha/beta/alpha sandwich fold (InterPro:IPR014729)
265246_at,ATPMEPCRD; pectinesterase
259510_at,unknown protein
259399_at,phosphoric monoester hydrolase
251697_at,inositol or phosphatidylinositol kinase
266347_at,ATP-dependent helicase
263548_at,ATGRP7 (COLD_ CIRCADIAN RHYTHM_ AND RNA BINDING 2); RNA binding / double-stranded DNA binding / single-stranded DNA binding
245804_at,similar to myosin heavy chain-related [Arabidopsis thaliana] (TAIR:AT4G03830.1); similar to hypothetical protein NCU04650 [Neurospora crassa OR74A] (GB:XP_959193.2); similar to related to kinetoplast-associated protein KAP [Neurospora crassa] (GB:CAD37020.1); contains InterPro domain Protein of unknown function DUF601 (InterPro:IPR006736)
254912_at,respiratory burst oxidase_ putative / NADPH oxidase_ putative
255231_at,F-box family protein (FBL20)
253924_at,COBL11 (COBRA-LIKE PROTEIN 11 PRECURSOR)
249852_at,STP11 (SUGAR TRANSPORTER 11); carbohydrate transmembrane transporter/ sugar:hydrogen ion symporter
260382_at,structural constituent of ribosome
253290_at,Identical to UPF0496 protein At4g34330 [Arabidopsis Thaliana] (GB:Q9SYZ8); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G34320.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO47666.1); contains InterPro domain Protein of unknown function DUF677 (InterPro:IPR007749)
265474_at,pentatricopeptide (PPR) repeat-containing protein
257747_at,similar to ACA.L (AUTOINHIBITED CA2+/ATPASE II)_ ATPase_ coupled to transmembrane movement of ions_ phosphorylative mechanism / calmodulin binding [Arabidopsis thaliana] (TAIR:AT1G13210.1)
266591_at,ABIL1 (ABI-1-LIKE 1)
256253_at,60S acidic ribosomal protein P0 (RPP0C)
248283_at,PKP-BETA1/PKP1/PKP2 (PLASTIDIC PYRUVATE KINASE 1); pyruvate kinase
247717_at,LTP3 (LIPID TRANSFER PROTEIN 3); lipid binding
257909_at,rhodanese-like domain-containing protein
245607_at,phragmoplast-associated kinesin-related protein 2 (PAKRP2)
257712_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G40600.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO14664.1)
246620_at,CYP81D1 (CYTOCHROME P450 91A1); oxygen binding
245921_at,unknown protein
254623_at,CHLI1 (CHLORINA 42); magnesium chelatase
262313_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G23110.3); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G23110.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G23110.2); similar to hypothetical protein [Vitis vinifera] (GB:CAN77015.1)
261114_at,[AT1G75390_ ATBZIP44 (ARABIDOPSIS THALIANA BASIC LEUCINE-ZIPPER 44); DNA binding / protein heterodimerization/ transcription factor];[AT1G75388_ CPuORF5 (Conserved peptide upstream open reading frame 5)]
254699_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G17700.1); contains InterPro domain Protein of unknown function DUF626_ Arabidopsis thaliana (InterPro:IPR006462)
246309_at,ATG1 (G1p-related protein)
249530_at,asparaginyl-tRNA synthetase family
260355_at,CRC (CRABS CLAW); transcription factor
249137_at,peroxisomal membrane 22 kDa family protein
AFFX-r2-At-Actin-M_s_at,ACT7 (actin 7)
248451_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G25770.1); similar to unknown [Populus trichocarpa] (GB:ABK95234.1); contains InterPro domain Protein of unknown function DUF676_ hydrolase-like (InterPro:IPR007751)
245688_at,AGP31 (ARABINOGALACTAN-PROTEIN 31); structural constituent of cell wall
261431_at,AtMYB47 (myb domain protein 47); DNA binding / transcription factor
253009_at,SHM1 (SERINE HYDROXYMETHYLTRANSFERASE 1); glycine hydroxymethyltransferase/ poly(U) binding
264082_at,unknown protein
263058_at,transposable element gene
245828_at,ORTH2/VIM1 (VARIANT IN METHYLATION 1); DNA binding / chromatin binding / double-stranded methylated DNA binding / histone binding / methyl-CpG binding / methyl-CpNpG binding / methyl-CpNpN binding
265472_at,zinc finger (C3HC4-type RING finger) family protein
250652_at,FLA21 (FASCICLIN-LIKE ARABINOGALACTAN PROTEIN 21 PRECURSOR)
259873_s_at,[AT1G76720_ translation initiation factor];[AT1G76825_ translation initiation factor]
245636_at,epsin N-terminal homology (ENTH) domain-containing protein / clathrin assembly protein-related
245730_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO68549.1)
261515_at,cleavage stimulation factor_ putative
256078_at,DNA-binding bromodomain-containing protein
266910_at,U-box domain-containing protein
264409_s_at,no_match
253657_at,HMA2 (Heavy metal ATPase 2); cadmium-transporting ATPase
247276_at,HEN4 (HUA ENHANCER 4); nucleic acid binding
249325_at,UPM1 (UROPHORPHYRIN METHYLASE 1); uroporphyrin-III C-methyltransferase
258081_at,CAAX amino terminal protease family protein
265835_at,no_match
247762_at,proline-rich family protein
254741_s_at,[AT4G13920_ disease resistance family protein / LRR family protein];[AT4G13900_ pseudogene_ similar to NL0D_ contains leucine rich-repeat domains Pfam:PF00560_ INTERPRO:IPR001611; similar to Cf-4A protein (Lycopersicon esculentum) gi|3097197|emb|CAA73187; blastp match of 33% identity and 2.9e-93 P-value to GP|4235641|gb|AAD13301.1||AF119040 NL0D {Lycopersicon esculentum}]
254515_at,BAM3 (big apical meristem 3); ATP binding / protein serine/ Threonine kinase
249135_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G19570.2); similar to unnamed protein product [Vitis vinifera] (GB:CAO63959.1); contains InterPro domain Protein of unknown function DUF566 (InterPro:IPR007573)
259554_at,transposable element gene
247687_at,UDP-galactose/UDP-glucose transporter-related
253149_at,isocitrate dehydrogenase_ putative / NAD+ isocitrate dehydrogenase_ putative
250620_at,ATS3 (ARABIDOPSIS THALIANA SEED GENE 3)
256220_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G22660.2); similar to unnamed protein product [Vitis vinifera] (GB:CAO17505.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN65689.1); contains InterPro domain Protein of unknown function DUF1399 (InterPro:IPR009836)
262926_s_at,[AT1G65800_ ARK2 (Arabidopsis Receptor Kinase 2); kinase];[AT1G65790_ ARK1 (A. THALIANA RECEPTOR KINASE I); kinase]
255469_at,kelch repeat-containing F-box family protein
266196_at,protein kinase_ putative
255923_at,SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein
266916_at,unknown protein
262237_at,thioesterase family protein
267253_at,serine carboxypeptidase S10 family protein
263840_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO63025.1)
246024_at,similar to harpin-induced protein-related / HIN1-related / harpin-responsive protein-related [Arabidopsis thaliana] (TAIR:AT2G27080.2); similar to harpin-induced protein-related / HIN1-related / harpin-responsive protein-related [Arabidopsis thaliana] (TAIR:AT2G27080.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO67363.1); contains InterPro domain Harpin-induced 1 (InterPro:IPR010847)
251967_at,transducin family protein / WD-40 repeat family protein
253811_at,ULT1 (ULTRAPETALA1); DNA binding / binding
265906_at,similar to zinc finger (C3HC4-type RING finger) family protein [Arabidopsis thaliana] (TAIR:AT2G24480.1)
253072_at,cytochrome c oxidase-related
247008_at,ATARLA1D (ADP-ribosylation factor-like A1D); GTP binding
261964_at,transposable element gene
248232_at,MLO11 (MILDEW RESISTANCE LOCUS O 11); calmodulin binding
264234_at,early-responsive to dehydration protein-related / ERD protein-related
258505_at,BAP28-related
256132_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G30380.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO15341.1); contains InterPro domain Alpha/beta hydrolase fold-1 (InterPro:IPR000073)
